Region;Sector;Material;Scenario;Unit;2020;2030;2050
China;All sectors;Ce;HDS;t/yr;9,940978112;10,83377896;0
China;All sectors;Cl;LDS;t/yr;16,31460216;12,20241553;0
China;All sectors;Cl;HDS;t/yr;16,31460216;18,54346031;0
China;All sectors;Co;LDS;t/yr;8833,988706;19345,93814;54204
China;All sectors;Co;HDS;t/yr;8833,988706;20882,13343;60986
China;All sectors;Concrete;LDS;t/yr;27023603,88;16268899,84;32544256,56
China;All sectors;Concrete;HDS;t/yr;27023603,88;24821260,64;60076472,34
China;All sectors;Cr;LDS;t/yr;37463,17358;19963,61137;38765,71866
China;All sectors;Cr;HDS;t/yr;37463,17358;32864,05358;82989,62662
China;All sectors;Cu;LDS;t/yr;270170,9915;318653,6046;924905,953
China;All sectors;Cu;HDS;t/yr;270170,9915;458241,0632;1534000,119
China;All sectors;Dy;LDS;t/yr;500,0639802;274,3203306;499,9320863
China;All sectors;Dy;HDS;t/yr;508,0639802;584,8920717;2051,73148
China;All sectors;Electrosteel;LDS;t/yr;26131;62990;391504
China;All sectors;Electrosteel;HDS;t/yr;26131;64057;521530
China;All sectors;Epoxy Resins;LDS;t/yr;766,7970642;5030,544259;0
China;All sectors;Epoxy Resins;HDS;t/yr;766,7970642;7655,652945;0
China;All sectors;Eu;LDS;t/yr;0,006981937;0,004911086;0
China;All sectors;Eu;HDS;t/yr;0,006981937;0,006983762;0
China;All sectors;Fe;LDS;t/yr;1368000,514;772520,4431;1741657,469
China;All sectors;Fe;HDS;t/yr;1368000,514;1269042,126;3590254,903
China;All sectors;Fluorspar;LDS;t/yr;103;464;2865
China;All sectors;Fluorspar;HDS;t/yr;103;538;4391
China;All sectors;Ga;LDS;t/yr;13,7949234;14,66524359;234,0674177
China;All sectors;Ga;HDS;t/yr;13,7949234;19,02715327;338,6745647
China;All sectors;Gd;LDS;t/yr;4,91117;3,706607017;0
China;All sectors;Gd;HDS;t/yr;4,91117;5,022205274;0
China;All sectors;Ge;LDS;t/yr;0,225285899;0,409867576;14506,54794
China;All sectors;Ge;HDS;t/yr;0,225285899;0,600773523;20989,67408
China;All sectors;Glass;LDS;t/yr;2945703,886;4238217,28;6981059,397
China;All sectors;Glass;HDS;t/yr;2945703,886;5366867,911;10100966,96
China;All sectors;Glass / carbon composites;LDS;t/yr;570795,3478;286353,4957;613220,2353
China;All sectors;Glass / carbon composites;HDS;t/yr;570795,3478;473010,9874;1280340,383
China;All sectors;Glass fibre;LDS;t/yr;1121,891138;7360,126019;0
China;All sectors;Glass fibre;HDS;t/yr;1121,891138;11200,88951;0
China;All sectors;Graphite;LDS;t/yr;34907;151663;880679
China;All sectors;Graphite;HDS;t/yr;34907;172665;1329761
China;All sectors;Hf;LDS;t/yr;0,359232;0,271210943;0
China;All sectors;Hf;HDS;t/yr;0,359232;0,367392;0
China;All sectors;Hg;LDS;t/yr;0,020359771;0,015227977;0
China;All sectors;Hg;HDS;t/yr;0,020359771;0,023141269;0
China;All sectors;In;LDS;t/yr;22,91899541;25,92946715;230,8247775
China;All sectors;In;HDS;t/yr;22,91899541;33,42194067;333,9827552
China;All sectors;Ir;LDS;t/yr;0;0,8;2,5
